平台名称《卫视直播》,jsonweishizhibo.txt
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
cctv3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV4国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV5体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV5+体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV6电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV7军农,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8
CCTV8电视剧,http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8
CCTV9纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV10科技,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV11戏曲,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV12社会与法,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8
CCTV13新闻,http://ncyd.jilu8.cn:80/PLTV/88888910/224/3221225638/index.m3u8
CCTV14少儿,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV15音乐,http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8
CCTV17农村,http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
东方卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225658/index.m3u8
湖南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225704/index.m3u8
江苏卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225702/index.m3u8
环球资讯广播,http://live.xmcdn.com/live/1040/64.m3u8
中文环球广播,http://live.xmcdn.com/live/1043/64.m3u8
中国之声,http://ls.qingting.fm/live/386.m3u8
平台名称《卡哇伊》,jsonkawayi.txt
玉叶,http://77bo.kangjujing.com/live/cx_10186.flv
馒头一线天,rtmp://mpows.jinjin.work/loxsw/19461_1668719250
老公对不起了,rtmp://mpows.jinjin.work/loxsw/19462_1668719279
小妮儿会唱歌,http://7707bo.youzhongyouzai.com/live/cx_12010.flv
七七小玥玥,http://yg001b.mkhjs.cn/live/cx_15428.flv
泰国妖后,rtmp://mpows.jinjin.work/loxsw/19463_1668719307
有套内射,rtmp://mpows.jinjin.work/loxsw/19464_1668719464
吸舔取精@,http://l1.iiun666.cn/live/cx_16389.flv
深水炸弹@,http://pull.ylsmdongganfen.com/live/cx_7491.flv
小美琳,http://77bo.kangjujing.com/live/cx_11872.flv
养成习惯,rtmp://mpows.jinjin.work/loxsw/19465_1668720505
追爱黑丝,rtmp://mpows.jinjin.work/loxsw/19469_1668750412
爱阴湿毯@,http://pull.ylsmdongganfen.com/live/cx_10630.flv
舔我哥哥,rtmp://mpows.jinjin.work/loxsw/19468_1668720608
年度大戏院,rtmp://mpows.jinjin.work/loxsw/19470_1668750441
小龙儿%3F%3F,rtmp://liveplay.guojianglive.com/live/9180_1395897
萝莉.酒后乱性,rtmp://mpows.jinjin.work/loxsw/19459_1668741829
一诺,http://77bo.kangjujing.com/live/cx_11813.flv
妹妹上门服务。,http://topse.xldkpjh.info/live/11181.mp4
脱党外套？,http://topse.xldkpjh.info/live/11182.mp4
幼女与少女@,rtmp://mpows.jinjin.work/loxsw/19460_1668744000
老板的秘书,http://bter.widtb.cn/live/cx_8554.flv
8岁女儿现场破处,http://164.88.255.26/49.mp4
？来弄一下哥？,http://topse.xldkpjh.info/live/11183.mp4
无情大鸡儿。,http://topse.xldkpjh.info/live/11184.mp4
Timi,http://bter.widtb.cn/live/cx_6095.flv
人兽与杂交。,rtmp://mpows.jinjin.work/loxsw/19456_1668669035
澳门金花VIP厅,rtmp://l5.mpjdzn.top/live/21129_1668679706
咪一奥,http://live-pull-zego.inke.cn/inkemain/1668752001148149.flv?stream_id=1668752001148149&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=b812d08fa2c4f034004b49e70848834b&wsABStime=63787401
小羊,http://yg004b.mkhjs.cn/live/cx_14651.flv
小张%3F%3F,http://live-pull-zego.inke.cn/inkemain/1668746927601768.flv?stream_id=1668746927601768&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=a6fe5e68f35e2bc873ed90f36b8d12f5&wsABStime=6378602f
林肖肖g,http://vkej.dzgzh.com/live/cx_7995.flv
炫彩小钟,http://yg001b.mkhjs.cn/live/cx_15982.flv
36d小白虎@,http://pull.ylsmdongganfen.com/live/cx_6162.flv
小百合,http://pull.ylsmdongganfen.com/live/cx_9398.flv
爱阴湿毯@,http://pull.ylsmdongganfen.com/live/cx_10630.flv
娘子安好,http://yg003b.mkhjs.cn/live/cx_15540.flv
隔壁村大奶,http://l1.iiun666.cn/live/cx_17231.flv
彩红糖,http://pull.ylsmdongganfen.com/live/cx_10330.flv
小C,http://vkej.dzgzh.com/live/cx_10249.flv
月予,http://yg004b.mkhjs.cn/live/cx_14573.flv
小星星的,http://l3.iiun666.cn/live/cx_16803.flv
户外七柒,http://xbo.apchengchuan.com/live/cx_10547.flv
小柒宝贝,http://l1.iiun666.cn/live/cx_15328.flv
萌小田@,http://pull.2shoumi.com/live/cx_7111.flv
小牧牧,http://live.liuzhuan.xyz/0917_x264_batch.flv
广西淫荡母狗@,http://pull.2shoumi.com/live/cx_11600.flv
木村雅子,http://77bo.kangjujing.com/live/cx_11837.flv
爱阴湿毯@,http://l3.iiun666.cn/live/cx_14674.flv
仙女夏凡,http://pull.2shoumi.com/live/cx_2999.flv
叮当,http://yg004b.mkhjs.cn/live/cx_15796.flv
你小可爱@,http://pull.ylsmdongganfen.com/live/cx_9666.flv
36d小白虎@,http://pull.ylsmdongganfen.com/live/cx_6162.flv
温妮宝贝,http://yg002b.mkhjs.cn/live/cx_16252.flv
00后泡芙妹妹,http://l5.iiun666.cn/live/cx_2312.flv
水如一,http://77bo.kangjujing.com/live/cx_10677.flv
广西淫荡母狗@,http://pull.2shoumi.com/live/cx_11600.flv
茶茶%284491%29,rtmp://liveplay.guojianglive.com/live/9180_1334751
蝴蝶妹,rtmp://lozsje.wydgod.top/live/3149_1668266
单身等你来撩,http://l3.iiun666.cn/live/cx_16333.flv
沫沫小妹@,http://pull.2shoumi.com/live/cx_3857.flv
香奈儿～,http://xbo.apchengchuan.com/live/cx_11324.flv
优美娜娜,http://yg003b.mkhjs.cn/live/cx_17249.flv
%3F琬玥%3F,http://live-pull-zego.inke.cn/inkemain/1668757382722444.flv?stream_id=1668757382722444&stream_type=zego&codecInfo=8192&ikFastRate=1.1&ikMaxBuf=3600&ikMinBuf=2900&ikHost=ws&ikNetOp=01111&ikSlowRate=0.9&wsSecret=443e88a913ad7ce6e01a335088ee8903&wsABStime=63788906
